FCP;Carpa;Cyprinus Carpio
FLE;Solha da Pedra;Plattichthys Flesus
FLW;Solha de Inverno;Pseudopleuronectes americanus
FLY;Peixes Voadores Nep;Exocoetidae
FOR;Abrótea da Costa;Phycis Phycis
FOX;Abroteas nep;Phycis spp.
FPI;Lucio;Esox Lucius
FRI;Judeu Liso;Auxis Thazard
FRL;Navalha;Pharus legumen
FRX;Pardelhas Nep;Rutilus Spp.
FTE;Tenca;Tinca tinca
GAD;Bacalhaus nep;Gadidae
GAG;Perna De Moca;Galeorhinus Galeus
GAR;Agulha;Belone Belone
GAS;Caramujos nep;Gibbula spp.
GBN;Caboz Negro;Gobius Niger
GBR;Pombo;Plectorhynchus Mediterraneus
GBR;Pombo;Plectorhynchus Mediterraneus
GFB;Abrótea do Alto;Phycis Blennoides
GHL;Alabote da Gronelândia;Reinhardtius Hippoglossus
GIT;Camarão tigre;Penaeus monodon
GOB;Cabozes do Atlântico nep;Gobius spp.
GPB;Garoupas Badejo;Mycteroperca fusca
GPD;Mero Legitimo;Epinephelus Guaza
GPW;Garoupa Legitima;Epinephelus Aeneus
GPX;Garoupas Nep;Epinephelus Spp.
GPX;Mero;Epinephelus spp.
GPX;Garoupas Nep;Epinephelus Spp.
GRA;Riscado;Parapristipoma Octolineatum
GRB;Colo Colo;Brachydeuterus Auritus
GRC;Bacalhau da Gronelândia;Gadus Ogac
GRM;Pescada de cauda azul;Macruronus magellanicus
GRX;Roncadores Nep;Pomadasys spp
GSK;Tubarão da Gronelandia;Somniosus microcephalus
GUG;Cabra Morena;Eutrigla Gurnardus
GUN;Cabra Lira;Trigla Lyra
GUP;Barroso;Centrophorus Granulosus
GUQ;Lixa;Centrophorus Squamosus
GUR;Cabra Vermelha;Chelidonichthys Cuculus
GUX;Cabra de Bandeira;Aspitrigla Obscura
GUY;Cabras nep;Trigla spp.
GUY;Ruivo;Lepidotrigla Cavillone
GUY;Cabra cabaço;Trigla lucerna
GUZ;Violas Nep;Rhinobatos spp
HAD;Arinca;Melanogrammus Aeglefinus
HAL;Alabote do Atlântico;Hippoglossus Hippoglossus
HAL;Alabote do Atlântico;Hippoglossus Hippoglossus
HDV;Liro imperial;Schedophilus Ovalis
HER;Arenque;Clupea Harengus
HKB;Pescada de Angola;Merluccius Polli
HKE;Pescada Branca;Merluccius Merluccius
HKE;Pescada Branca;Merluccius merluccius
HKE;Pescada Branca;Merluccius Merluccius
HKE;Pescada Branca;Merluccius Merluccius
HKE;Pescada Branca;Merluccius Merluccius
HKK;Pescada da Africa do Sul;Merluccius Capensis
HKM;Pescada Negra;Merluccius Senegalensis
HKM;Pescada Negra;Merluccius Senegalensis
HKM;Pescada Negra;Merluccius Senegalensis
HKM;Pescada Negra;Merluccius Senegalensis
HKN;Pescada do chile;Merluccius australis
HKO;Pescada da Namíbia;Merluccius Paradoxus
HKP;Pescada argentina;Merluccius hubbis
HKR;Abrótea vermelha;Urophycis chuss
HKS;Pescada Prateada;Merluccius Bilinearis
HKW;Abrótea branca;Urophycis tenuis
HKX;Pescadas Nep;Merluccius Spp.
HKX;Pescadas Nep;Merluccius Spp.
HMM;Carapau do Mediterrâneo;Trachurus mediterraneus
HMY;Charro Amarelo;Caranx Ronchus
HMZ;Carapau do cunene;Trachurus trecae
HNQ;Caranguejo;Chaceon macphersoni
HOM;Carapau;Trachurus Trachurus
HOM;Carapau;Trachurus Trachurus
HPR;Olho de Vidro;Hoplostethus Mediterraneus
HQM;Fuso Torto;Stramonite haemastoma
HTU;Fura Vasos;Heteropriacanthus Cruentatus
HXT;Bico Doce;Heptranchias perlo
ILI;Capasseca;Ilisha Africana
JAA;Carapau negrão;Trachurus picturatus
